hate hates hated
have has had
heal heals healed
hear hears heard
heat heats heated
heave heaves hove
help helps helped
hew hews hewed
hide hides hid
hinder hinders hindered
hiss hisses hissed
hit hits hit
hoax hoaxes hoaxed
hold holds held
hop hops hopped
hope hopes hoped
horrify horrifies horrified
hug hugs hugged
hum hums hummed
humiliate humiliates humiliated
hunt hunts hunted
hurl hurls hurled
hurry hurries hurried
hurt hurts hurt
hush hushes hushed
hustle hustles hustled
hypnotize hypnotizes hypnotized
idealize idealizes idealized
identify identifies identified
idolize idolizes idolized
ignite ignites ignited
ignore ignores ignored
illuminate illuminates illuminated
illumine illumines illumined
illustrate illustrates illustrated
imagine imagines imagined
imbibe imbibes imbibed
imitate imitates imitated
immerse immerses immersed
immolate immolates immolated
immure immures immured
impair impairs impaired
impart imparts imparted
impeach impeaches impeached
impede impedes impeded
impel impels impelled
impend impends impended
imperil imperils imperilled
impinge impinges impinged
implant implants implanted
implicate implicates implicated
implode implodes imploded
implore implores implored
imply implies implied
import imports imported
impose imposes imposed
impress impresses impressed
imprint imprints imprinted
imprison imprisons imprisoned
improve improves improved
inaugurate inaugurates inaugurated
incise incises incised
include includes included
increase increases increased
inculcate inculcates inculcated
indent indents indented
indicate indicates indicated
induce induces induced
indulge indulges indulged
infect infects infected
infest infests infested
inflame inflames inflamed
inflate inflates inflated
inflect inflects inflected
inform informs informed
infringe infringes infringed
infuse infuses infused
ingest ingests ingested
inhabit inhabits inhabited
inhale inhales inhaled
inherit inherits inherited
initiate initiates initiated
inject injects injected
injure injures injured
inlay inlays inlaid
innovate innovates innovated
input inputs input
inquire inquires inquired
inscribe inscribes inscribed
insert inserts inserted
inspect inspects inspected
inspire inspires inspired
install installs installed
insult insults insulted
insure insures insured
integrate integrates integrated
introduce introduces introduced
invent invents invented
invite invites invited
join joins joined
jump jumps jumped
justify justifies justified
keep keeps kept
kick kicks kicked
kid kids kidded
kill kills killed
kiss kisses kissed
kneel kneels knelt
knit knits knit
knock knocks knocked
know knows knew
lade lades laded
land lands landed
last lasts lasted
latch latches latched
laugh laughs laughed
lay lays laid
lead leads led
leak leaks leaked
lean leans leant
leap leaps leapt
learn learns learnt
leave leaves left
leer leers leered
lend lends lent
let lets let
lick licks licked
lie lies lied
lift lifts lifted
light lights lit
like likes liked
limp limps limped
listen listens listened
live lives lived
look looks looked
lose loses lost
love loves loved
magnify magnifies magnified
maintain maintains maintained
make makes made
manage manages managed
march marches marched
mark marks marked
marry marries married
mash mashes mashed
match matches matched
matter matters mattered
mean means meant
measure measures measured
meet meets met
melt melts melted
merge merges merged
migrate migrates migrated
milk milks milked
mind minds minded
mislead misleads misled
miss misses missed
mistake mistakes mistook
misuse misuses misused
mix mixes mixed
moan moans moaned
modify modifies modified
moo moos mooed
motivate motivates motivated
mould moulds moulded
moult moults moulted
move moves moved
mow mows mowed
multiply multiplies multiplied
murmur murmurs murmured
nail nails nailed
nap naps napped
need needs needed
neglect neglects neglected
nip nips nipped
nod nods nodded
note notes noted
notice notices noticed
notify notifies notified
nourish nourishes nourished
nurse nurses nursed
obey obeys obeyed
oblige obliges obliged
observe observes observed
obstruct obstructs obstructed
obtain obtains obtained
occupy occupies occupied
occur occurs occurred
offer offers offered
offset offsets offset
omit omits omitted
ooze oozes oozed
open opens opened
operate operates operated
opine opines opined
oppress oppresses oppressed
opt opts opted
optimize optimizes optimized
order orders ordered
organize organizes organized
originate originates originated
output outputs output
overflow overflows overflowed
overtake overtakes overtook
owe owes owed
own owns owned
pacify pacifies pacified
paint paints painted
pardon pardons pardoned
part parts parted
partake partakes partook
participate participates participated
pass passes passed
paste pastes pasted
pat pats patted
patch patches patched
pause pauses paused
pay pays paid
peep peeps peeped
perish perishes perished
permit permits permitted
persuade persuades persuaded
phone phones phoned
place places placed
plan plans planned
play plays played
plead pleads pled
please pleases pleased
plod plods plodded
plot plots plotted
pluck plucks plucked
point points pointed
polish polishes polished
pollute pollutes polluted
ponder ponders pondered
pour pours poured
pout pouts pouted
practise practises practised
praise praises praised
pray prays prayed
preach preaches preached
prefer prefers preferred
prepare prepares prepared
prescribe prescribes prescribed
present presents presented
preserve preserves preserved
preset presets preset
preside presides presided
press presses pressed
pretend pretends pretended
prevent prevents prevented
print prints printed
proceed proceeds proceeded
produce produces produced
progress progresses progressed
prohibit prohibits prohibited
promise promises promised
propose proposes proposed
prosecute prosecutes prosecuted
protect protects protected
prove proves proved
provide provides provided
pry pries pried
pull pulls pulled
punish punishes punished
purify purifies purified
push pushes pushed
put puts put
qualify qualifies qualified
quarrel quarrels quarrelled
question questions questioned
quit quits quit
race races raced
rain rains rained
rattle rattles rattled
reach reaches reached
read reads read
realize realizes realized
rebuild rebuilds rebuilt
recall recalls recalled
recast recasts recast
receive receives received
recite recites recited
recognize recognizes recognized
recollect recollects recollected
recur recurs recurred
redo redoes redid
reduce reduces reduced
refer refers referred
reflect reflects reflected
refuse refuses refused
regard regards regarded
regret regrets regretted
relate relates related
relax relaxes relaxed
rely relies relied
remain remains remained
remake remakes remade
remove removes removed
render renders rendered
renew renews renewed
renounce renounces renounced
rent rents rented
repair repairs repaired
repeat repeats repeated
replace replaces replaced
reply replies replied
report reports reported
request requests requested
resell resells resold
resemble resembles resembled
reset resets reset
resist resists resisted
resolve resolves resolved
respect respects respected
rest rests rested
restrain restrains restrained
retain retains retained
retch retches retched
retire retires retired
return returns returned
reuse reuses reused
review reviews reviewed
rewind rewinds rewound
rid rids rid
ride rides rode
ring rings rang
rise rises rose
roar roars roared
rob robs robbed
roll rolls rolled
rot rots rotted
rub rubs rubbed
rule rules ruled
run runs ran
rush rushes rushed
sabotage sabotages sabotaged
sack sacks sacked
sacrifice sacrifices sacrificed
sadden saddens saddened
saddle saddles saddled
sag sags sagged
sail sails sailed
sally sallies sallied
salute salutes saluted
salvage salvages salvaged
salve salves salved
sample samples sampled
sanctify sanctifies sanctified
sanction sanctions sanctioned
sap saps sapped
saponify saponifies saponified
sash sashes sashed
sashay sashays sashayed
sass sasses sassed
sate sates sated
satiate satiates satiated
satirise satirises satirised
satisfy satisfies satisfied
saturate saturates saturated
saunter saunters sauntered
save saves saved
savor savors savored
savvy savvies savvied
saw saws sawed
say says said
scab scabs scabbed
scabble scabbles scabbled
scald scalds scalded
scale scales scaled
scam scams scammed
scan scans scanned
scant scants scanted
scar scars scarred
scare scares scared
scarify scarifies scarified
scarp scarps scarped
scat scats scatted
scatter scatters scattered
scold scolds scolded
scorch scorches scorched
scowl scowls scowled
scrawl scrawls scrawled
scream screams screamed
screw screws screwed
scrub scrubs scrubbed
search searches searched
seat seats seated
secure secures secured
see sees saw
seek seeks sought
seem seems seemed
seize seizes seized
select selects selected
sell sells sold
send sends sent
sentence sentences sentenced
separate separates separated
set sets set
sever severs severed
sew sews sewed
shake shakes shook
shape shapes shaped
share shares shared
shatter shatters shattered
shave shaves shove
shear shears shore
shed sheds shed
shine shines shone
shirk shirks shirked
shit shits shit
shiver shivers shivered
shock shocks shocked
shoe shoes shod
shoot shoots shot
shorten shortens shortened
shout shouts shouted
show shows showed
shrink shrinks shrank
shun shuns shunned
shut shuts shut
sight sights sighted
signal signals signalled
signify signifies signified
sing sings sang
sink sinks sank
sip sips sipped
sit sits sat
ski skis skied
skid skids skidded
slam slams slammed
slay slays slew
sleep sleeps slept
slide slides slid
slim slims slimmed
sling slings slung
slink slinks slunk
slip slips slipped
slit slits slit
smash smashes smashed
smell smells smelt
smile smiles smiled
smite smites smote
smooth smoothes smoothed
smother smothers smothered
snap snaps snapped
snatch snatches snatched
sneak sneaks sneaked
sneeze sneezes sneezed
sniff sniffs sniffed
soar soars soared
sob sobs sobbed
solicit solicits solicited
solve solves solved
soothe soothes soothed
sort sorts sorted
sow sows sowed
sparkle sparkles sparkled
speak speaks spoke
speed speeds sped
spell spells spelt
spend spends spent
spill spills spilt
spin spins span/spun
spit spits spat/spit
split splits split
spoil spoils spoilt
spray sprays sprayed
spread spreads spread
spring springs sprang
sprout sprouts sprouted
squeeze squeezes squeezed
stand stands stood
stare stares stared
start starts started
state states stated
stay stays stayed
steal steals stole
steep steeps steeped
stem stems stemmed
step steps stepped
sterilize sterilizes sterilized
stick sticks stuck
stimulate stimulates stimulated
sting stings stung
stink stinks stank
stir stirs stirred
stitch stitches stitched
stoop stoops stooped
stop stops stopped
store stores stored
strain strains strained
stray strays strayed
stress stresses stressed
stretch stretches stretched
strew strews strewed
stride strides strode
strike strikes struck
string strings strung
strive strives strove
study studies studied
sublimate sublimates sublimated
submit submits submitted
subscribe subscribes subscribed
subtract subtracts subtracted
succeed succeeds succeeded
suck sucks sucked
suffer suffers suffered
suggest suggests suggested
summon summons summoned
supply supplies supplied
support supports supported
suppose supposes supposed
surge surges surged
surmise surmises surmised
surpass surpasses surpassed
surround surrounds surrounded
survey surveys surveyed
survive survives survived
swallow swallows swallowed
sway sways swayed
swear swears swore
sweat sweats sweat
sweep sweeps swept
swell swells swelled
swim swims swam
swing swings swung
swot swots swotted
take takes took
talk talks talked
tap taps tapped
taste tastes tasted
tax taxes taxed
teach teaches taught
tear tears tore
tee tees teed
tell tells told
tempt tempts tempted
tend tends tended
terminate terminates terminated
terrify terrifies terrified
test tests tested
thank thanks thanked
think thinks thought
thrive thrives throve
throw throws threw
thrust thrusts thrust
thump thumps thumped
tie ties tied
tire tires tired
toss tosses tossed
touch touches touched
train trains trained
trample tramples trampled
transfer transfers transferred
transform transforms transformed
translate translates translated
trap traps trapped
travel travels travelled
tread treads trod
treasure treasures treasured
treat treats treated
tree trees treed
tremble trembles trembled
triumph triumphs triumphed
trust trusts trusted
try tries tried
turn turns turned
type types typed
typeset typesets typeset
understand understands understood
undo undoes undid
uproot uproots uprooted
upset upsets upset
urge urges urged
use uses used
utter utters uttered
value values valued
vanish vanishes vanished
vary varies varied
verify verifies verified
vex vexes vexed
vie vies vied
view views viewed
violate violates violated
vomit vomits vomited
wake wakes woke
walk walks walked
wander wanders wandered
want wants wanted
warn warns warned
waste wastes wasted
watch watches watched
